snapshot_index,novelty_fraction,num_entities,num_novel
0,0.02968270214943705,977,29
1,0.03268945022288262,673,22
2,0.027960526315789474,608,17
3,0.037,1000,37
4,0.02913533834586466,1064,31
5,0.04267161410018553,1078,46
6,0.041811846689895474,1148,48
7,0.03744939271255061,988,37
8,0.01757188498402556,626,11
9,0.034482758620689655,638,22
10,0.045090180360721446,998,45
11,0.04136029411764706,1088,45
12,0.04416666666666667,1200,53
13,0.043936731107205626,1138,50
14,0.04343720491029273,1059,46
15,0.023450586264656615,597,14
16,0.029921259842519685,635,19
17,0.04446546830652791,1057,47
18,0.03887510339123242,1209,47
19,0.03655352480417755,1149,42
20,0.04079782411604715,1103,45
21,0.03919694072657744,1046,41
22,0.01337295690936107,673,9
23,0.0273972602739726,584,16
24,0.03362151777137368,1041,35
25,0.0228270412642669,1139,26
26,0.03577817531305903,1118,40
27,0.039532794249775384,1113,44
28,0.030155642023346304,1028,31
29,0.026402640264026403,606,16
30,0.024844720496894408,644,16
31,0.03146509341199607,1017,32
32,0.03919781221513218,1097,43
33,0.034203420342034205,1111,38
