snapshot_index,temporal_position,mrr_filter,mrr_raw,num_triples,error
0,0.0,0.3732958137989044,0.3529549539089203,1618,0.6267041862010956
1,0.030303030303030304,0.3974439203739166,0.3777157962322235,956,0.6025560796260834
2,0.06060606060606061,0.4268486052751541,0.40384817123413086,815,0.5731513947248459
3,0.09090909090909091,0.371769443154335,0.35617680847644806,1461,0.628230556845665
4,0.12121212121212122,0.38541488349437714,0.36266736686229706,1634,0.6145851165056229
5,0.15151515151515152,0.39478760957717896,0.3607185035943985,1596,0.605212390422821
6,0.18181818181818182,0.35934998095035553,0.33554452657699585,1754,0.6406500190496445
7,0.21212121212121213,0.3818006217479706,0.3572363257408142,1494,0.6181993782520294
8,0.24242424242424243,0.4116402417421341,0.3860961049795151,800,0.5883597582578659
9,0.2727272727272727,0.41393910348415375,0.38534222543239594,979,0.5860608965158463
10,0.30303030303030304,0.3817426413297653,0.35929255187511444,1588,0.6182573586702347
11,0.3333333333333333,0.3792826682329178,0.35736891627311707,1779,0.6207173317670822
12,0.36363636363636365,0.36043667793273926,0.34173645079135895,1831,0.6395633220672607
13,0.3939393939393939,0.35226863622665405,0.3337567150592804,1762,0.647731363773346
14,0.42424242424242425,0.3699587881565094,0.350956991314888,1566,0.6300412118434906
15,0.45454545454545453,0.4104086011648178,0.39398883283138275,812,0.5895913988351822
16,0.48484848484848486,0.38974013924598694,0.37741027772426605,820,0.6102598607540131
17,0.5151515151515151,0.360066756606102,0.34123408794403076,1707,0.639933243393898
18,0.5454545454545454,0.34472936391830444,0.3256556838750839,1988,0.6552706360816956
19,0.5757575757575758,0.3558926433324814,0.3382508158683777,1845,0.6441073566675186
20,0.6060606060606061,0.34820371866226196,0.3334489166736603,1670,0.651796281337738
21,0.6363636363636364,0.3605889678001404,0.3347335755825043,1695,0.6394110321998596
22,0.6666666666666666,0.3877308964729309,0.3671099841594696,956,0.6122691035270691
23,0.696969696969697,0.4184570163488388,0.38428762555122375,930,0.5815429836511612
24,0.7272727272727273,0.3756415843963623,0.3574000149965286,1641,0.6243584156036377
25,0.7575757575757576,0.3539593517780304,0.3344815820455551,1813,0.6460406482219696
26,0.7878787878787878,0.3635151982307434,0.3426998108625412,1759,0.6364848017692566
27,0.8181818181818182,0.36318255960941315,0.34380707144737244,1664,0.6368174403905869
28,0.8484848484848485,0.3857305347919464,0.3610600233078003,1616,0.6142694652080536
29,0.8787878787878788,0.3953550159931183,0.3636449724435806,1021,0.6046449840068817
30,0.9090909090909091,0.39722350239753723,0.3706767410039902,998,0.6027764976024628
31,0.9393939393939394,0.3639330416917801,0.3430486023426056,1668,0.6360669583082199
32,0.9696969696969697,0.3735077381134033,0.3549329787492752,1589,0.6264922618865967
33,1.0,0.35541874170303345,0.3370259553194046,1720,0.6445812582969666
